"distance","Legend","MUNI","Area","counter","distInt","Building_Density"
23100,"Outside the UGA","MANOR TOWNSHIP",20998566.5514325,12,"(2.308e+04,2.311e+04]",5.71467579494438e-07
23760,"Outside the UGA","MANOR TOWNSHIP",20376213.7858552,4,"(2.373e+04,2.376e+04]",1.96307323923777e-07
24420,"Outside the UGA","MANOR TOWNSHIP",19795318.3010721,1,"(2.442e+04,2.445e+04]",5.05169952203213e-08
25080,"Outside the UGA","MANOR TOWNSHIP",19332367.5808506,0,"(2.507e+04,2.51e+04]",0
25740,"Outside the UGA","MANOR TOWNSHIP",18796985.6832708,0,"(2.572e+04,2.575e+04]",0
26400,"Outside the UGA","MANOR TOWNSHIP",18178970.7310427,0,"(2.637e+04,2.644e+04]",0
-660,"Inside the UGA","EAST HEMPFIELD TOWNSHIP",29400855.6621252,179,"(-663,-632]",6.08825818054648e-06
-1320,"Inside the UGA","EAST HEMPFIELD TOWNSHIP",29307554.3694593,379,"(-1345,-1314]",1.29318193944885e-05
-1980,"Inside the UGA","EAST HEMPFIELD TOWNSHIP",27121703.6267805,471,"(-1996,-1965]",1.73661657276914e-05
-2640,"Inside the UGA","EAST HEMPFIELD TOWNSHIP",26457031.2665585,447,"(-2647,-2616]",1.68953196409835e-05
-3300,"Inside the UGA","EAST HEMPFIELD TOWNSHIP",25164544.2006318,368,"(-3329,-3298]",1.46237498706915e-05
-3960,"Inside the UGA","EAST HEMPFIELD TOWNSHIP",24504549.0124539,342,"(-3980,-3949]",1.39565922974622e-05
-4620,"Inside the UGA","EAST HEMPFIELD TOWNSHIP",24570243.9001692,294,"(-4631,-4600]",1.19656931854053e-05
-5280,"Inside the UGA","EAST HEMPFIELD TOWNSHIP",26621450.4451714,513,"(-5282,-5251]",1.92701746682269e-05
-5940,"Inside the UGA","EAST HEMPFIELD TOWNSHIP",27307836.1132421,461,"(-5964,-5933]",1.68816012403287e-05
-6600,"Inside the UGA","EAST HEMPFIELD TOWNSHIP",23531864.9882006,409,"(-6615,-6584]",1.73806878547485e-05
-7260,"Inside the UGA","EAST HEMPFIELD TOWNSHIP",21312020.8101902,294,"(-7266,-7235]",1.37950315748296e-05
-7920,"Inside the UGA","EAST HEMPFIELD TOWNSHIP",19579783.7624172,237,"(-7948,-7917]",1.21043216245786e-05
-8580,"Inside the UGA","EAST HEMPFIELD TOWNSHIP",19124208.3785612,236,"(-8599,-8568]",1.23403800736957e-05
-9240,"Inside the UGA","EAST HEMPFIELD TOWNSHIP",18003978.3792361,221,"(-9250,-9219]",1.22750647298532e-05
-9900,"Inside the UGA","EAST HEMPFIELD TOWNSHIP",16291678.3377534,232,"(-9901,-9870]",1.42403990055694e-05
-10560,"Inside the UGA","EAST HEMPFIELD TOWNSHIP",14539545.663511,249,"(-1.058e+04,-1.055e+04]",1.71257070724637e-05
-11220,"Inside the UGA","EAST HEMPFIELD TOWNSHIP",9117035.67086485,202,"(-1.123e+04,-1.12e+04]",2.21563244120595e-05
-11880,"Inside the UGA","EAST HEMPFIELD TOWNSHIP",5900153.6901933,138,"(-1.188e+04,-1.185e+04]",2.33892212383164e-05
-12540,"Inside the UGA","EAST HEMPFIELD TOWNSHIP",3269728.5734733,64,"(-1.257e+04,-1.254e+04]",1.9573490142032e-05
-13200,"Inside the UGA","EAST HEMPFIELD TOWNSHIP",1519446.69015536,17,"(-1.322e+04,-1.319e+04]",1.1188283281108e-05
-13860,"Inside the UGA","EAST HEMPFIELD TOWNSHIP",44974.1630105674,0,"(-1.387e+04,-1.384e+04]",0
660,"Outside the UGA","EAST HEMPFIELD TOWNSHIP",36218680.4970787,134,"(639,670]",3.69974825589817e-06
1320,"Outside the UGA","EAST HEMPFIELD TOWNSHIP",33119247.9847258,111,"(1290,1321]",3.351525374344e-06
1980,"Outside the UGA","EAST HEMPFIELD TOWNSHIP",28770622.2195016,94,"(1972,2003]",3.26722165696799e-06
2640,"Outside the UGA","EAST HEMPFIELD TOWNSHIP",25277902.3753029,90,"(2623,2654]",3.56042201064642e-06
3300,"Outside the UGA","EAST HEMPFIELD TOWNSHIP",19683652.9221455,73,"(3274,3305]",3.70866120677578e-06
3960,"Outside the UGA","EAST HEMPFIELD TOWNSHIP",15453293.3818457,58,"(3956,3987]",3.75324525114741e-06
4620,"Outside the UGA","EAST HEMPFIELD TOWNSHIP",12847599.0424417,51,"(4607,4638]",3.96961329751363e-06
5280,"Outside the UGA","EAST HEMPFIELD TOWNSHIP",10400908.6922421,25,"(5258,5289]",2.40363613793159e-06
5940,"Outside the UGA","EAST HEMPFIELD TOWNSHIP",7773200.36985166,26,"(5909,5940]",3.34482565261548e-06
6600,"Outside the UGA","EAST HEMPFIELD TOWNSHIP",5719260.37519199,16,"(6591,6622]",2.79756453638691e-06
7260,"Outside the UGA","EAST HEMPFIELD TOWNSHIP",2810925.07788166,1,"(7242,7273]",3.55754768374548e-07
7920,"Outside the UGA","EAST HEMPFIELD TOWNSHIP",7941.49158314872,0,"(7893,7924]",0
-660,"Inside the UGA","MANHEIM TOWNSHIP",46266412.0659642,436,"(-663,-632]",9.42368298147637e-06
-1320,"Inside the UGA","MANHEIM TOWNSHIP",38619435.8215637,433,"(-1345,-1314]",1.12119711432508e-05
-1980,"Inside the UGA","MANHEIM TOWNSHIP",31120002.7767857,430,"(-1996,-1965]",1.38174794868837e-05
-2640,"Inside the UGA","MANHEIM TOWNSHIP",27657820.2805997,339,"(-2647,-2616]",1.22569311883839e-05
-3300,"Inside the UGA","MANHEIM TOWNSHIP",28120601.5540295,304,"(-3329,-3298]",1.08105795466683e-05
-3960,"Inside the UGA","MANHEIM TOWNSHIP",28278727.3204532,308,"(-3980,-3949]",1.08915792606138e-05
-4620,"Inside the UGA","MANHEIM TOWNSHIP",30165192.4969822,367,"(-4631,-4600]",1.21663403950336e-05
-5280,"Inside the UGA","MANHEIM TOWNSHIP",29113764.4055223,360,"(-5282,-5251]",1.23652851958819e-05
-5940,"Inside the UGA","MANHEIM TOWNSHIP",28920602.2481528,374,"(-5964,-5933]",1.29319575294767e-05
-6600,"Inside the UGA","MANHEIM TOWNSHIP",28783117.0991828,461,"(-6615,-6584]",1.60163334086247e-05
-7260,"Inside the UGA","MANHEIM TOWNSHIP",27301727.1842994,516,"(-7266,-7235]",1.88999031642489e-05
-7920,"Inside the UGA","MANHEIM TOWNSHIP",26715477.5172692,556,"(-7948,-7917]",2.08119057441738e-05
