INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
I182049748,00301,Robbery,ROBBERY - STREET,A15,56,,2018-06-25 05:15:00,2018,6,Monday,5,Part One,GREEN ST,42.37601727,-71.06391748,"(42.37601727, -71.06391748)"
I182049535,00301,Robbery,ROBBERY - STREET,A15,42,,2018-06-24 23:28:00,2018,6,Sunday,23,Part One,OLD LANDING WAY,42.37982191,-71.0554713,"(42.37982191, -71.05547130)"
I182049501,00301,Robbery,ROBBERY - STREET,D4,170,,2018-06-24 21:04:00,2018,6,Sunday,21,Part One,E SPRINGFIELD ST,42.3354595,-71.07448891,"(42.33545950, -71.07448891)"
I182049361,00301,Robbery,ROBBERY - STREET,D4,119,,2018-06-23 21:00:00,2018,6,Saturday,21,Part One,PARK ST,42.35650174,-71.0619996,"(42.35650174, -71.06199960)"
I182049329,00311,Robbery,ROBBERY - COMMERCIAL,B3,476,,2018-06-24 10:05:00,2018,6,Sunday,10,Part One,BLUE HILL AVE,42.26817397,-71.09387677,"(42.26817397, -71.09387677)"
I182049283,00301,Robbery,ROBBERY - STREET,B2,186,,2018-06-24 01:31:00,2018,6,Sunday,1,Part One,ALLSTATE RD,42.32809966,-71.06321676,"(42.32809966, -71.06321676)"
I182049279,00361,Robbery,ROBBERY - OTHER,A1,117,,2018-06-24 02:42:00,2018,6,Sunday,2,Part One,HARRISON AVE,42.35115526,-71.06130589,"(42.35115526, -71.06130589)"
I182048045,00301,Robbery,ROBBERY - STREET,A1, ,,2018-06-19 23:35:00,2018,6,Tuesday,23,Part One,ESSEX ST,,,"(0.00000000, 0.00000000)"
I182049103,00361,Robbery,ROBBERY - OTHER,A1,102,,2018-06-23 12:55:00,2018,6,Saturday,12,Part One,WASHINGTON ST,42.35591935,-71.06000539,"(42.35591935, -71.06000539)"
I182049040,00301,Robbery,ROBBERY - STREET,D4,171,,2018-06-23 06:30:00,2018,6,Saturday,6,Part One,E BERKELEY ST,42.34393909,-71.06594762,"(42.34393909, -71.06594762)"
I182049007,00301,Robbery,ROBBERY - STREET,A1,119,,2018-06-23 02:45:00,2018,6,Saturday,2,Part One,TREMONT ST,42.35637531,-71.06213513,"(42.35637531, -71.06213513)"
I182048992,00301,Robbery,ROBBERY - STREET,D4,271,,2018-06-23 02:37:00,2018,6,Saturday,2,Part One,WASHINGTON ST,42.3353741,-71.0783156,"(42.33537410, -71.07831560)"
I182048863,00361,Robbery,ROBBERY - OTHER,D14,804,,2018-06-22 17:53:00,2018,6,Friday,17,Part One,EVERETT ST,42.35595391,-71.13852468,"(42.35595391, -71.13852468)"
I182048824,00301,Robbery,ROBBERY - STREET,D4, ,,2018-06-22 15:18:00,2018,6,Friday,15,Part One,HARRISON AVE,,,"(0.00000000, 0.00000000)"
I182048818,00361,Robbery,ROBBERY - OTHER,E18,523,,2018-06-22 15:11:00,2018,6,Friday,15,Part One,,,,"(0.00000000, 0.00000000)"
I182048687,00301,Robbery,ROBBERY - STREET,D4,168,,2018-06-22 05:43:00,2018,6,Friday,5,Part One,E CONCORD ST,42.33648039,-71.07321503,"(42.33648039, -71.07321503)"
I182048672,00361,Robbery,ROBBERY - OTHER,B3,453,,2018-06-22 02:27:00,2018,6,Friday,2,Part One,ALGONQUIN ST,42.29742411,-71.07531358,"(42.29742411, -71.07531358)"
I182048663,00301,Robbery,ROBBERY - STREET,A1,78,,2018-06-22 01:08:00,2018,6,Friday,1,Part One,NEW SUDBURY ST,42.36262318,-71.05793495,"(42.36262318, -71.05793495)"
I182048640,00311,Robbery,ROBBERY - COMMERCIAL,C11,393,,2018-06-21 22:03:00,2018,6,Thursday,22,Part One,DORCHESTER AVE,42.28657334,-71.06408374,"(42.28657334, -71.06408374)"
I182048476,00301,Robbery,ROBBERY - STREET,D4,169,,2018-06-21 10:34:00,2018,6,Thursday,10,Part One,E CONCORD ST,42.33572403,-71.07232651,"(42.33572403, -71.07232651)"
I182048475,00301,Robbery,ROBBERY - STREET,C11,402,,2018-06-21 05:10:00,2018,6,Thursday,5,Part One,DORCHESTER AVE,42.28526024,-71.06444063,"(42.28526024, -71.06444063)"
I182048381,00301,Robbery,ROBBERY - STREET,A1,111,,2018-06-21 05:50:00,2018,6,Thursday,5,Part One,TREMONT ST,42.35311007,-71.06432264,"(42.35311007, -71.06432264)"
I182047857,00301,Robbery,ROBBERY - STREET,A15,900,,2018-06-19 14:40:00,2018,6,Tuesday,14,Part One,CARNEY CT,42.37915428,-71.06022431,"(42.37915428, -71.06022431)"
I182047779,00361,Robbery,ROBBERY - OTHER,C6,914,,2018-06-19 10:58:00,2018,6,Tuesday,10,Part One,GENERAL LAWRENCE J LOGAN ,42.32779674,-71.05435602,"(42.32779674, -71.05435602)"
I182047757,00301,Robbery,ROBBERY - STREET,B2,265,,2018-06-15 20:00:00,2018,6,Friday,20,Part One,CLIFFORD ST,42.31985444,-71.07972518,"(42.31985444, -71.07972518)"
I182047672,00301,Robbery,ROBBERY - STREET,B3,481,,2018-06-18 23:05:00,2018,6,Monday,23,Part One,CUMMINS HWY,42.26833327,-71.09541448,"(42.26833327, -71.09541448)"
I182047633,00301,Robbery,ROBBERY - STREET,B3,449,,2018-06-18 20:25:00,2018,6,Monday,20,Part One,MILLET ST,42.29277639,-71.07659233,"(42.29277639, -71.07659233)"
I182047158,00301,Robbery,ROBBERY - STREET,A7,26,,2018-06-17 09:05:00,2018,6,Sunday,9,Part One,BORDER ST,42.38229155,-71.04036424,"(42.38229155, -71.04036424)"
I182047121,00361,Robbery,ROBBERY - OTHER,D14,939,,2018-06-17 02:46:00,2018,6,Sunday,2,Part One,FANEUIL ST,42.35555336,-71.15274721,"(42.35555336, -71.15274721)"
I182047120,00301,Robbery,ROBBERY - STREET,D4,119,,2018-06-17 02:51:00,2018,6,Sunday,2,Part One,PARK ST,42.35650174,-71.0619996,"(42.35650174, -71.06199960)"
I182047108,00301,Robbery,ROBBERY - STREET,C6,177,,2018-06-17 02:09:00,2018,6,Sunday,2,Part One,MASSACHUSETTS AVE,42.32952684,-71.06917216,"(42.32952684, -71.06917216)"
I182047007,00301,Robbery,ROBBERY - STREET,D4,285,,2018-06-16 18:57:00,2018,6,Saturday,18,Part One,SUSSEX ST,42.33622661,-71.08408673,"(42.33622661, -71.08408673)"
I182046908,00311,Robbery,ROBBERY - COMMERCIAL,C11,393,,2018-06-16 09:40:00,2018,6,Saturday,9,Part One,DORCHESTER AVE,42.28657334,-71.06408374,"(42.28657334, -71.06408374)"
I182046727,00311,Robbery,ROBBERY - COMMERCIAL,B2,297,,2018-06-15 17:00:00,2018,6,Friday,17,Part One,WALNUT AVE,42.32217348,-71.08506711,"(42.32217348, -71.08506711)"
I182046598,00311,Robbery,ROBBERY - COMMERCIAL,C11,393,,2018-06-15 13:31:00,2018,6,Friday,13,Part One,DORCHESTER AVE,42.28657334,-71.06408374,"(42.28657334, -71.06408374)"
I182046547,00301,Robbery,ROBBERY - STREET,B2,180,,2018-06-14 22:30:00,2018,6,Thursday,22,Part One,BLUE HILL AVE,42.3252158,-71.07492178,"(42.32521580, -71.07492178)"
