the_geom,cartodb_id,station,line,terminus,route
0101000020E6100000FBA875D51BC451C0FAD44B403B2D4540,150,Boylston,SILVER,N,SL5
0101000020E61000008DBE3517EAC351C00CFCBF596A2D4540,151,Downtown Crossing,SILVER,N,SL5
0101000020E61000003645EB1D01C451C01F2184F11B2D4540,152,Chinatown,SILVER,N,SL4 SL5
0101000020E61000005F9840A85BC551C073438EBD332A4540,153,Dudley Square,SILVER,Y,SL4 SL5
0101000020E61000001E7BC29597C351C0B7084E030B2D4540,154,South Station Essex St,SILVER,N,SL4
0101000020E6100000BA773F9F53C251C0C091942D7E2C4540,155,Northern Ave,SILVER,N,SL2
0101000020E610000003F7BCDB2BC551C05C225532A32A4540,156,Melnea Cass Blvd,SILVER,N,SL4 SL5
0101000020E6100000ABE145530FC551C0216202F6DE2A4540,157,Lenox St,SILVER,N,SL4 SL5
0101000020E6100000B8EA508FF2C451C00BDE2CAD0C2B4540,158,Massachusetts Ave,SILVER,N,SL4 SL5
0101000020E610000097C2E42BDBC451C05F6F76F92E2B4540,159,Worcester Square,SILVER,N,SL4 SL5
0101000020E610000090700481BAC451C0F7DECA7A5C2B4540,160,Newton Street,SILVER,N,SL4 SL5
0101000020E61000008D92E54F91C451C09F5211E9922B4540,161,Union Park Street,SILVER,N,SL4 SL5
0101000020E610000078FFABFB35C451C0D0D4A3940C2C4540,162,East Berkeley Street,SILVER,N,SL4 SL5
0101000020E610000061D1C45D24C451C0373FE637572C4540,163,Herald Street,SILVER,N,SL4 SL5
0101000020E6100000452F306A15C451C057A49700C12C4540,164,Tuffs Medical Center,SILVER,N,SL4 SL5
0101000020E6100000B65118E4BDC151C07B7300CF0D2C4540,165,Black Falcon Ave,SILVER,N,SL2
0101000020E61000008A471D9FEFC451C072EE392A32324540,166,Assembly,ORANGE,N,Forest Hills to Oak Grove
