OFFENSE,YEAR,STREET,LAT,LON
ROBBERY,2012,SARATOGA ST,42.38293953,-70.99598192
ROBBERY,2012,KILMARNOCK ST,42.34266635,-71.09938455
ROBBERY,2012,WOODROW AV,42.28572636,-71.09031956
ROBBERY,2012,CONDOR ST,42.38261134,-71.03476457
ROBBERY,2012,LONG WHRF,42.35975135,-71.05091957
ROBBERY,2012,W BROOKLINE ST,42.34259296,-71.07599153
ROBBERY,2012,PREBLE ST,42.32923635,-71.05276456
ROBBERY,2012,GLENDALE ST,42.31307204,-71.06931498
ROBBERY,2012,HUNTINGTON AV,42.33349135,-71.10609955
ROBBERY,2012,NORFOLK ST,42.32460135,-71.06871957
ROBBERY,2012,HANCOCK ST,42.31220635,-71.06390456
ROBBERY,2012,ELMER RD,42.28634136,-71.05868456
ROBBERY,2012,LAMARTINE ST,42.31897136,-71.10356955
ROBBERY,2012,CENTRE ST,42.32283635,-71.10382955
ROBBERY,2012,COLUMBIA RD,42.31320635,-71.06801956
ROBBERY,2012,SHEPARD ST,42.34743135,-71.15020454
ROBBERY,2012,FENWAY,42.34442135,-71.09076955
ROBBERY,2012,WASHINGTON ST,42.30081135,-71.11296955
ROBBERY,2012,VIRGINIA ST,42.31535065,-71.06859975
ROBBERY,2012,HARRISON AV,42.33044723,-71.08165603
ROBBERY,2012,COMMONWEALTH AV,42.35145135,-71.08046956
ROBBERY,2012,COLUMBIA RD,42.31320635,-71.06822456
ROBBERY,2012,WASHINGTON ST,42.33623635,-71.07735456
ROBBERY,2012,DORCHESTER AV,42.30174135,-71.05975456
ROBBERY,2012,WASHINGTON ST,42.35647634,-71.05929456
ROBBERY,2012,SAVIN ST,42.31519136,-71.07850956
ROBBERY,2012,RUGGLES ST,42.33587135,-71.09081955
ROBBERY,2012,COLUMBUS AV,42.31459635,-71.09678955
ROBBERY,2012,LONDON ST,42.37382134,-71.03840957
ROBBERY,2012,SAWYER AV,42.31271136,-71.05885957
ROBBERY,2012,ARBORWAY,42.3079609,-71.11968491
ROBBERY,2012,BOYLSTON ST,42.35237134,-71.06490456
ROBBERY,2012,SYDNEY ST,42.31656635,-71.05259956
ROBBERY,2012,TREMONT ST,42.33388135,-71.10399454
ROBBERY,2012,CENTRE ST,42.29470636,-71.05798956
ROBBERY,2012,CASTLE CT,42.34509635,-71.06745956
ROBBERY,2012,MASSACHUSETTS AV,42.34154635,-71.08318955
ROBBERY,2012,SAWYER AV,42.31285523,-71.06285427
ROBBERY,2012,HAROLD ST,42.31295136,-71.09259956
ROBBERY,2012,DORCHESTER AV,42.28576136,-71.06427957
ROBBERY,2012,SURFACE RD,42.36011634,-71.05723956
ROBBERY,2012,TREMONT ST,42.34412135,-71.07132956
ROBBERY,2012,COPELAND ST,42.32170135,-71.08190956
ROBBERY,2012,DORCHESTER AV,42.31946135,-71.05675456
ROBBERY,2012,DRAPER ST,42.30165502,-71.06328466
ROBBERY,2012,DRAPER ST,42.30135136,-71.06304957
ROBBERY,2012,BOYLSTON ST,42.35006135,-71.07737956
ROBBERY,2012,WINTER ST,42.35553634,-71.06071956
ROBBERY,2012,METROPOLITAN AV,42.27029137,-71.12060955
ROBBERY,2012,KNEELAND ST,42.35010135,-71.05976957
ROBBERY,2012,SHAFTER ST,42.29892545,-71.07692328
ROBBERY,2012,HUNTINGTON AV,42.34283135,-71.08498955
ROBBERY,2012,E COTTAGE ST,42.32135135,-71.07218956
ROBBERY,2012,CENTRE STREET TR,42.32281635,-71.10085955
ROBBERY,2012,CENTRE ST,42.32283635,-71.10382955
ROBBERY,2012,BLUE HILL AV,42.32285136,-71.07667956
ROBBERY,2012,CEDAR ST,42.32542551,-71.09136437
ROBBERY,2012,MARLBOROUGH ST,42.35037635,-71.08784956
ROBBERY,2012,TRUMAN PY,42.24122921,-71.12625579
ROBBERY,2012,E ST,42.34347635,-71.04268459
ROBBERY,2012,NAZING ST,42.30661328,-71.08584104
ROBBERY,2012,HIGH ST,42.35660969,-71.05187589
ROBBERY,2012,TREMONT ST,42.33480635,-71.08864455
ROBBERY,2012,TREMONT ST,42.35644135,-71.06197957
ROBBERY,2012,WASHINGTON ST,42.33488635,-71.07901956
ROBBERY,2012,BOURNESIDE ST,42.29657136,-71.06263957
ROBBERY,2012,UNION ST,42.36059634,-71.05673456
ROBBERY,2012,FESSENDEN ST,42.27856075,-71.092001
ROBBERY,2012,WASHINGTON ST,42.33551635,-71.07824956
ROBBERY,2012,ATHENS ST,42.33870806,-71.04958255
ROBBERY,2012,BLUE HILL AV,42.29005136,-71.08944455
ROBBERY,2012,BOYLSTON ST,42.35013134,-71.07714456
ROBBERY,2012,SCHUYLER ST,42.30815136,-71.08517956
ROBBERY,2012,FULLER ST,42.2836616,-71.06589348
ROBBERY,2012,ASHMONT ST,42.28576136,-71.06427957
ROBBERY,2012,PRINCETON ST,42.37681634,-71.03789458
ROBBERY,2012,JOSEPH ST,42.28975636,-71.06608456
ROBBERY,2012,KERR WY,42.33427135,-71.08498955
ROBBERY,2012,CHELSEA ST,42.37282134,-71.03541958
ROBBERY,2012,DORCHESTER ST,42.33328462,-71.05030341
ROBBERY,2012,ASPINWALL RD,42.29135136,-71.07436956
ROBBERY,2012,STATE ST,42.35878634,-71.05740456
ROBBERY,2012,WASHINGTON ST,42.35452134,-71.06142456
ROBBERY,2012,MALCOLM X BL,42.33109591,-71.09038894
ROBBERY,2012,MALCOLM X BL,42.33109591,-71.09038894
ROBBERY,2012,NORWELL ST,42.30027181,-71.07883611
ROBBERY,2012,DEVON ST,42.31036777,-71.08056819
ROBBERY,2012,CAMBRIDGE STREET AV,42.35313135,-71.13851453
ROBBERY,2012,ORTON MAROTTA WY,42.33829635,-71.05538956
ROBBERY,2012,COLUMBUS AV,42.32815135,-71.09699955
ROBBERY,2012,ADAMS ST,42.29930136,-71.05815957
ROBBERY,2012,CENTRE ST,42.32281635,-71.10085955
ROBBERY,2012,E 7TH ST,42.33528135,-71.05233957
ROBBERY,2012,BLOSSOM ST,42.36168634,-71.06688456
ROBBERY,2012,ALBANY ST,42.33880135,-71.06601956
ROBBERY,2012,MONADNOCK ST,42.31799135,-71.06728957
ROBBERY,2012,BEACON ST,42.34832135,-71.09898955
ROBBERY,2012,E COTTAGE ST,42.32005245,-71.06101624
ROBBERY,2012,BRIGHTON AV,42.35299135,-71.13208954
ROBBERY,2012,E COTTAGE ST,42.32136135,-71.06579957
ROBBERY,2012,CENTRE ST,42.32227635,-71.10883455
ROBBERY,2012,SALEM ST,42.36552634,-71.05526956
ROBBERY,2012,DORCHESTER AV,42.28984136,-71.06314957
ROBBERY,2012,TREMONT ST,42.33388135,-71.10399454
ROBBERY,2012,BOYLSTON ST,42.34865634,-71.08256955
ROBBERY,2012,COLUMBIA RD,42.31508477,-71.06683616
ROBBERY,2012,FULLER ST,42.28071137,-71.07712957
ROBBERY,2012,TREMONT ST,42.33194923,-71.094024
ROBBERY,2012,FLORIAN ST,42.28672137,-71.11868955
ROBBERY,2012,TREMONT ST,42.34468697,-71.07038662
ROBBERY,2012,NEWBURY ST,42.34846635,-71.08665456
ROBBERY,2012,PARKER ST,42.33229135,-71.09676455
ROBBERY,2012,TREMONT ST,42.35624135,-71.06218957
ROBBERY,2012,CAMBRIDGE ST,42.35925134,-71.05941456
ROBBERY,2012,BENNINGTON ST,42.37688134,-71.03370957
ROBBERY,2012,FALCON ST,42.38196635,-71.03185957
ROBBERY,2012,JOSEPHINE ST,42.30052136,-71.06494457
ROBBERY,2012,TREMLETT ST,42.29470636,-71.07057957
ROBBERY,2012,LONGWOOD AV,42.33594135,-71.10033955
ROBBERY,2012,WARREN ST,42.31738635,-71.08225955
ROBBERY,2012,ADAMS ST,42.27130697,-71.06814847
ROBBERY,2012,CENTRAL SQ,42.37505388,-71.03886721
ROBBERY,2012,BLOOMFIELD ST,42.29908139,-71.0683246
